Phyla,Receptor,Sequences
Coelacanthiformes,GPR12,2
Actinopterygii,GPR12,226
Chondrichthyes,GPR12,14
Cyclostomata,GPR12,0
Tunicata,GPR12,0
Cephalochordata,GPR12,0
Hemichordata,GPR12,0
Echinodermata,GPR12,0
Annelida,GPR12,0
Mollusca,GPR12,0
Arthropoda,GPR12,0
Cnidaria,GPR12,0
Placozoa,GPR12,0
Mammalia,GPR132,305
Archosauria,GPR132,184
Lepidosauria,GPR132,40
Testudines,GPR132,23
Amphibia,GPR132,41
Dipnomorpha,GPR132,1
Coelacanthiformes,GPR132,1
Actinopterygii,GPR132,381
Chondrichthyes,GPR132,22
Cyclostomata,GPR132,0
Tunicata,GPR132,0
Cephalochordata,GPR132,0
Hemichordata,GPR132,0
Echinodermata,GPR132,0
Annelida,GPR132,0
Mollusca,GPR132,0
Arthropoda,GPR132,0
Cnidaria,GPR132,0
Placozoa,GPR132,0
Mammalia,GPR161,287
Archosauria,GPR161,463
Lepidosauria,GPR161,29
Testudines,GPR161,21
Amphibia,GPR161,43
Dipnomorpha,GPR161,0
Coelacanthiformes,GPR161,1
Actinopterygii,GPR161,369
Chondrichthyes,GPR161,19
Cyclostomata,GPR161,4
Tunicata,GPR161,0
Cephalochordata,GPR161,10
Hemichordata,GPR161,3
Echinodermata,GPR161,17
Annelida,GPR161,0
Mollusca,GPR161,37
Arthropoda,GPR161,9
Cnidaria,GPR161,24
Placozoa,GPR161,0
Actinopterygii,P2RY10|GPR174,91
Mammalia,GPR174,202
Archosauria,GPR174,389
Lepidosauria,GPR174,22
Testudines,GPR174,14
Amphibia,GPR174,14
Dipnomorpha,GPR174,1
Coelacanthiformes,GPR174,1
Actinopterygii,GPR174,165
Chondrichthyes,GPR174,11
Cyclostomata,GPR174,0
Tunicata,GPR174,0
Cephalochordata,GPR174,0
Hemichordata,GPR174,0
Echinodermata,GPR174,0
Annelida,GPR174,0
Mollusca,GPR174,0
Arthropoda,GPR174,0
Cnidaria,GPR174,0
Placozoa,GPR174,0
Mammalia,GPR17,282
Archosauria,GPR17,459
Lepidosauria,GPR17,35
Testudines,GPR17,21
Amphibia,GPR17,41
Dipnomorpha,GPR17,3
Coelacanthiformes,GPR17,2
Actinopterygii,GPR17,625
Chondrichthyes,GPR17,34
Cyclostomata,GPR17,0
Tunicata,GPR17,0
Cephalochordata,GPR17,0
Hemichordata,GPR17,0
Echinodermata,GPR17,0
Annelida,GPR17,0
Mollusca,GPR17,0
Arthropoda,GPR17,0
Cnidaria,GPR17,0
Placozoa,GPR17,0
Mammalia,GPR183/LIKE,50
Archosauria,GPR183/LIKE,100
Lepidosauria,GPR183/LIKE,0
Testudines,GPR183/LIKE,13
Amphibia,GPR183/LIKE,6
Dipnomorpha,GPR183/LIKE,0
Coelacanthiformes,GPR183/LIKE,1
Actinopterygii,GPR183/LIKE,72
Chondrichthyes,GPR183/LIKE,9
Cyclostomata,GPR183/LIKE,0
Tunicata,GPR183/LIKE,0
Cephalochordata,GPR183/LIKE,0
Hemichordata,GPR183/LIKE,0
Echinodermata,GPR183/LIKE,0
Annelida,GPR183/LIKE,0
Mollusca,GPR183/LIKE,0
Arthropoda,GPR183/LIKE,0
Cnidaria,GPR183/LIKE,0
Placozoa,GPR183/LIKE,0
Mammalia,GPR183,207
Archosauria,GPR183,383
Lepidosauria,GPR183,19
Testudines,GPR183,14
Amphibia,GPR183,11
Dipnomorpha,GPR183,1
Coelacanthiformes,GPR183,1
Actinopterygii,GPR183,221
Chondrichthyes,GPR183,9
Cyclostomata,GPR183,0
Tunicata,GPR183,0
Cephalochordata,GPR183,0
Hemichordata,GPR183,0
Echinodermata,GPR183,0
Annelida,GPR183,0
Mollusca,GPR183,0
Arthropoda,GPR183,0
Cnidaria,GPR183,0
Placozoa,GPR183,0
Mammalia,GPR18,251
Archosauria,GPR18,429
Lepidosauria,GPR18,30
Testudines,GPR18,17
Amphibia,GPR18,22
Dipnomorpha,GPR18,1
Coelacanthiformes,GPR18,1
Actinopterygii,GPR18,241
Chondrichthyes,GPR18,18
Cyclostomata,GPR18,1
Tunicata,GPR18,0
Cephalochordata,GPR18,0
Hemichordata,GPR18,0
Echinodermata,GPR18,0
Annelida,GPR18,0
Mollusca,GPR18,0
Arthropoda,GPR18,0
Cnidaria,GPR18,0
Placozoa,GPR18,0
Actinopterygii,GPR31/LIKE,81
Mammalia,GPR31,186
Archosauria,GPR31,0
Lepidosauria,GPR31,0
Testudines,GPR31,13
Amphibia,GPR31,0
Dipnomorpha,GPR31,1
Coelacanthiformes,GPR31,0
Actinopterygii,GPR31,0
Chondrichthyes,GPR31,0
Cyclostomata,GPR31,0
Tunicata,GPR31,0
Cephalochordata,GPR31,0
Hemichordata,GPR31,0
Echinodermata,GPR31,0
Annelida,GPR31,0
Mollusca,GPR31,0
Arthropoda,GPR31,0
Cnidaria,GPR31,0
Placozoa,GPR31,0
Mammalia,GPR34/LIKE,1
Archosauria,GPR34/LIKE,6
Lepidosauria,GPR34/LIKE,3
Testudines,GPR34/LIKE,0
Amphibia,GPR34/LIKE,4
Dipnomorpha,GPR34/LIKE,0
Coelacanthiformes,GPR34/LIKE,1
Actinopterygii,GPR34/LIKE,13
Chondrichthyes,GPR34/LIKE,4
Cyclostomata,GPR34/LIKE,0
Tunicata,GPR34/LIKE,0
Cephalochordata,GPR34/LIKE,0
Hemichordata,GPR34/LIKE,0
Echinodermata,GPR34/LIKE,0
Annelida,GPR34/LIKE,0
Mollusca,GPR34/LIKE,0
Arthropoda,GPR34/LIKE,0
Cnidaria,GPR34/LIKE,0
Placozoa,GPR34/LIKE,0
Mammalia,GPR34,200
Archosauria,GPR34,384
Lepidosauria,GPR34,6
Testudines,GPR34,15
Amphibia,GPR34,12
Dipnomorpha,GPR34,1
Coelacanthiformes,GPR34,1
Actinopterygii,GPR34,265
Chondrichthyes,GPR34,2
Cyclostomata,GPR34,0
Tunicata,GPR34,0
Cephalochordata,GPR34,0
Hemichordata,GPR34,0
Echinodermata,GPR34,0
Annelida,GPR34,0
Mollusca,GPR34,0
Arthropoda,GPR34,0
Cnidaria,GPR34,0
Placozoa,GPR34,0
Mammalia,GPR35,123
Archosauria,GPR35,812
Lepidosauria,GPR35,25
Testudines,GPR35,37
Amphibia,GPR35,16
Dipnomorpha,GPR35,1
Coelacanthiformes,GPR35,2
Actinopterygii,GPR35,48
Chondrichthyes,GPR35,9
Cyclostomata,GPR35,0
Tunicata,GPR35,0
Cephalochordata,GPR35,0
Hemichordata,GPR35,0
Echinodermata,GPR35,0
Annelida,GPR35,0
Mollusca,GPR35,0
Arthropoda,GPR35,0
Cnidaria,GPR35,0
Placozoa,GPR35,0
Mammalia,GPR3,253
Archosauria,GPR3,401
Lepidosauria,GPR3,32
Testudines,GPR3,17
Amphibia,GPR3,5
Dipnomorpha,GPR3,1
Coelacanthiformes,GPR3,1
Actinopterygii,GPR3,159
Chondrichthyes,GPR3,18
Cyclostomata,GPR3,0
Tunicata,GPR3,0
Cephalochordata,GPR3,0
Hemichordata,GPR3,0
Echinodermata,GPR3,0
Annelida,GPR3,0
Mollusca,GPR3,0
Arthropoda,GPR3,0
Cnidaria,GPR3,0
Placozoa,GPR3,0
Cyclostomata,GPR3|GPR12,1
Mammalia,GPR42,1
Archosauria,GPR42,0
Lepidosauria,GPR42,0
Testudines,GPR42,0
Amphibia,GPR42,0
Dipnomorpha,GPR42,0
Coelacanthiformes,GPR42,0
Actinopterygii,GPR42,0
Chondrichthyes,GPR42,0
Cyclostomata,GPR42,0
Tunicata,GPR42,0
Cephalochordata,GPR42,0
Hemichordata,GPR42,0
Echinodermata,GPR42,0
Annelida,GPR42,0
Mollusca,GPR42,0
Arthropoda,GPR42,0
Cnidaria,GPR42,0
Placozoa,GPR42,0
Mammalia,GPR55/LIKE,2
Archosauria,GPR55/LIKE,116
Lepidosauria,GPR55/LIKE,9
Testudines,GPR55/LIKE,13
Amphibia,GPR55/LIKE,2
Dipnomorpha,GPR55/LIKE,0
Coelacanthiformes,GPR55/LIKE,1
Actinopterygii,GPR55/LIKE,65
Chondrichthyes,GPR55/LIKE,39
Cyclostomata,GPR55/LIKE,0
Tunicata,GPR55/LIKE,0
Cephalochordata,GPR55/LIKE,0
Hemichordata,GPR55/LIKE,0
Echinodermata,GPR55/LIKE,0
Annelida,GPR55/LIKE,0
Mollusca,GPR55/LIKE,0
Arthropoda,GPR55/LIKE,0
Cnidaria,GPR55/LIKE,0
Placozoa,GPR55/LIKE,0
Mammalia,GPR55,210
Archosauria,GPR55,387
Lepidosauria,GPR55,0
Testudines,GPR55,21
Amphibia,GPR55,7
Dipnomorpha,GPR55,1
Coelacanthiformes,GPR55,1
Actinopterygii,GPR55,197
Chondrichthyes,GPR55,2
Cyclostomata,GPR55,0
Tunicata,GPR55,0
Cephalochordata,GPR55,0
Hemichordata,GPR55,0
Echinodermata,GPR55,0
Annelida,GPR55,0
Mollusca,GPR55,0
Arthropoda,GPR55,0
Cnidaria,GPR55,0
Placozoa,GPR55,0
Mammalia,GPR6,210
Archosauria,GPR6,373
Lepidosauria,GPR6,22
Testudines,GPR6,14
Amphibia,GPR6,15
Dipnomorpha,GPR6,1
Coelacanthiformes,GPR6,1
Actinopterygii,GPR6,191
Chondrichthyes,GPR6,11
Cyclostomata,GPR6,0
Tunicata,GPR6,0
Cephalochordata,GPR6,0
Hemichordata,GPR6,0
Echinodermata,GPR6,0
Annelida,GPR6,0
Mollusca,GPR6,0
Arthropoda,GPR6,0
Cnidaria,GPR6,0
Placozoa,GPR6,0
Mammalia,GPR82,242
Archosauria,GPR82,318
Lepidosauria,GPR82,0
Testudines,GPR82,16
Amphibia,GPR82,10
Dipnomorpha,GPR82,2
Coelacanthiformes,GPR82,1
Actinopterygii,GPR82,153
Chondrichthyes,GPR82,1
Cyclostomata,GPR82,0
Tunicata,GPR82,0
Cephalochordata,GPR82,0
Hemichordata,GPR82,0
Echinodermata,GPR82,0
Annelida,GPR82,0
Mollusca,GPR82,0
Arthropoda,GPR82,0
Cnidaria,GPR82,0
Placozoa,GPR82,0
Mammalia,GPR84,284
Archosauria,GPR84,3
Lepidosauria,GPR84,37
Testudines,GPR84,23
Amphibia,GPR84,51
Dipnomorpha,GPR84,1
Coelacanthiformes,GPR84,1
Actinopterygii,GPR84,403
Chondrichthyes,GPR84,56
Cyclostomata,GPR84,6
Tunicata,GPR84,0
Cephalochordata,GPR84,0
Hemichordata,GPR84,0
Echinodermata,GPR84,0
Annelida,GPR84,0
Mollusca,GPR84,0
Arthropoda,GPR84,0
Cnidaria,GPR84,0
Placozoa,GPR84,0
Mammalia,GPR87,283
Archosauria,GPR87,450
Lepidosauria,GPR87,34
Testudines,GPR87,23
Amphibia,GPR87,42
Dipnomorpha,GPR87,0
Coelacanthiformes,GPR87,2
Actinopterygii,GPR87,62
Chondrichthyes,GPR87,8
Cyclostomata,GPR87,0
Tunicata,GPR87,0
Cephalochordata,GPR87,0
Hemichordata,GPR87,0
Echinodermata,GPR87,0
Annelida,GPR87,0
Mollusca,GPR87,0
Arthropoda,GPR87,0
Cnidaria,GPR87,0
Placozoa,GPR87,0
Mammalia,LPAR1,259
Archosauria,LPAR1,211
Lepidosauria,LPAR1,28
Testudines,LPAR1,16
Amphibia,LPAR1,23
Dipnomorpha,LPAR1,1
Coelacanthiformes,LPAR1,1
Actinopterygii,LPAR1,239
Chondrichthyes,LPAR1,15
Cyclostomata,LPAR1,0
Tunicata,LPAR1,0
Cephalochordata,LPAR1,0
Hemichordata,LPAR1,0
Echinodermata,LPAR1,0
Annelida,LPAR1,0
Mollusca,LPAR1,0
Arthropoda,LPAR1,0
Cnidaria,LPAR1,0
Placozoa,LPAR1,0
Mammalia,LPAR2,184
Archosauria,LPAR2,206
Lepidosauria,LPAR2,20
Testudines,LPAR2,11
Amphibia,LPAR2,12
Dipnomorpha,LPAR2,1
Coelacanthiformes,LPAR2,0
Actinopterygii,LPAR2,259
Chondrichthyes,LPAR2,6
Cyclostomata,LPAR2,0
