Phyla,Receptor,Mode
Coelacanthiformes,GPR12,2
Actinopterygii,GPR12,1
Chondrichthyes,GPR12,1
Cyclostomata,GPR12,0
Tunicata,GPR12,0
Cephalochordata,GPR12,0
Hemichordata,GPR12,0
Echinodermata,GPR12,0
Annelida,GPR12,0
Mollusca,GPR12,0
Arthropoda,GPR12,0
Cnidaria,GPR12,0
Placozoa,GPR12,0
Mammalia,GPR132,1
Archosauria,GPR132,1
Lepidosauria,GPR132,1
Testudines,GPR132,1
Amphibia,GPR132,1
Dipnomorpha,GPR132,1
Coelacanthiformes,GPR132,1
Actinopterygii,GPR132,1
Chondrichthyes,GPR132,1
Cyclostomata,GPR132,0
Tunicata,GPR132,0
Cephalochordata,GPR132,0
Hemichordata,GPR132,0
Echinodermata,GPR132,0
Annelida,GPR132,0
Mollusca,GPR132,0
Arthropoda,GPR132,0
Cnidaria,GPR132,0
Placozoa,GPR132,0
Mammalia,GPR161,1
Archosauria,GPR161,1
Lepidosauria,GPR161,1
Testudines,GPR161,1
Amphibia,GPR161,1
Dipnomorpha,GPR161,0
Coelacanthiformes,GPR161,1
Actinopterygii,GPR161,1
Chondrichthyes,GPR161,1
Cyclostomata,GPR161,1
Tunicata,GPR161,0
Cephalochordata,GPR161,3
Hemichordata,GPR161,1
Echinodermata,GPR161,1
Annelida,GPR161,0
Mollusca,GPR161,1
Arthropoda,GPR161,1
Cnidaria,GPR161,1
Placozoa,GPR161,0
Actinopterygii,P2RY10|GPR174,1
Mammalia,GPR174,1
Archosauria,GPR174,1
Lepidosauria,GPR174,1
Testudines,GPR174,1
Amphibia,GPR174,1
Dipnomorpha,GPR174,1
Coelacanthiformes,GPR174,1
Actinopterygii,GPR174,1
Chondrichthyes,GPR174,1
Cyclostomata,GPR174,0
Tunicata,GPR174,0
Cephalochordata,GPR174,0
Hemichordata,GPR174,0
Echinodermata,GPR174,0
Annelida,GPR174,0
Mollusca,GPR174,0
Arthropoda,GPR174,0
Cnidaria,GPR174,0
Placozoa,GPR174,0
Mammalia,GPR17,1
Archosauria,GPR17,1
Lepidosauria,GPR17,1
Testudines,GPR17,1
Amphibia,GPR17,1
Dipnomorpha,GPR17,1
Coelacanthiformes,GPR17,3
Actinopterygii,GPR17,2
Chondrichthyes,GPR17,2
Cyclostomata,GPR17,2
Tunicata,GPR17,0
Cephalochordata,GPR17,0
Hemichordata,GPR17,0
Echinodermata,GPR17,0
Annelida,GPR17,0
Mollusca,GPR17,0
Arthropoda,GPR17,0
Cnidaria,GPR17,0
Placozoa,GPR17,0
Mammalia,GPR183/LIKE,1
Archosauria,GPR183/LIKE,1
Lepidosauria,GPR183/LIKE,0
Testudines,GPR183/LIKE,1
Amphibia,GPR183/LIKE,1
Dipnomorpha,GPR183/LIKE,0
Coelacanthiformes,GPR183/LIKE,1
Actinopterygii,GPR183/LIKE,1
Chondrichthyes,GPR183/LIKE,1
Cyclostomata,GPR183/LIKE,0
Tunicata,GPR183/LIKE,0
Cephalochordata,GPR183/LIKE,0
Hemichordata,GPR183/LIKE,0
Echinodermata,GPR183/LIKE,0
Annelida,GPR183/LIKE,0
Mollusca,GPR183/LIKE,0
Arthropoda,GPR183/LIKE,0
Cnidaria,GPR183/LIKE,0
Placozoa,GPR183/LIKE,0
Mammalia,GPR183,1
Archosauria,GPR183,1
Lepidosauria,GPR183,1
Testudines,GPR183,1
Amphibia,GPR183,1
Dipnomorpha,GPR183,1
Coelacanthiformes,GPR183,1
Actinopterygii,GPR183,1
Chondrichthyes,GPR183,1
Cyclostomata,GPR183,0
Tunicata,GPR183,0
Cephalochordata,GPR183,0
Hemichordata,GPR183,0
Echinodermata,GPR183,0
Annelida,GPR183,0
Mollusca,GPR183,0
Arthropoda,GPR183,0
Cnidaria,GPR183,0
Placozoa,GPR183,0
Mammalia,GPR18,1
Archosauria,GPR18,1
Lepidosauria,GPR18,1
Testudines,GPR18,1
Amphibia,GPR18,1
Dipnomorpha,GPR18,1
Coelacanthiformes,GPR18,1
Actinopterygii,GPR18,1
Chondrichthyes,GPR18,1
Cyclostomata,GPR18,1
Tunicata,GPR18,0
Cephalochordata,GPR18,0
Hemichordata,GPR18,0
Echinodermata,GPR18,0
Annelida,GPR18,0
Mollusca,GPR18,0
Arthropoda,GPR18,0
Cnidaria,GPR18,0
Placozoa,GPR18,0
Actinopterygii,GPR31/LIKE,1
Mammalia,GPR31,1
Archosauria,GPR31,0
Lepidosauria,GPR31,0
Testudines,GPR31,1
Amphibia,GPR31,0
Dipnomorpha,GPR31,1
Coelacanthiformes,GPR31,0
Actinopterygii,GPR31,0
Chondrichthyes,GPR31,0
Cyclostomata,GPR31,0
Tunicata,GPR31,0
Cephalochordata,GPR31,0
Hemichordata,GPR31,0
Echinodermata,GPR31,0
Annelida,GPR31,0
Mollusca,GPR31,0
Arthropoda,GPR31,0
Cnidaria,GPR31,0
Placozoa,GPR31,0
Mammalia,GPR34/LIKE,1
Archosauria,GPR34/LIKE,1
Lepidosauria,GPR34/LIKE,1
Testudines,GPR34/LIKE,0
Amphibia,GPR34/LIKE,1
Dipnomorpha,GPR34/LIKE,0
Coelacanthiformes,GPR34/LIKE,1
Actinopterygii,GPR34/LIKE,1
Chondrichthyes,GPR34/LIKE,1
Cyclostomata,GPR34/LIKE,0
Tunicata,GPR34/LIKE,0
Cephalochordata,GPR34/LIKE,0
Hemichordata,GPR34/LIKE,0
Echinodermata,GPR34/LIKE,0
Annelida,GPR34/LIKE,0
Mollusca,GPR34/LIKE,0
Arthropoda,GPR34/LIKE,0
Cnidaria,GPR34/LIKE,0
Placozoa,GPR34/LIKE,0
Mammalia,GPR34,1
Archosauria,GPR34,1
Lepidosauria,GPR34,1
Testudines,GPR34,1
Amphibia,GPR34,1
Dipnomorpha,GPR34,1
Coelacanthiformes,GPR34,1
Actinopterygii,GPR34,2
Chondrichthyes,GPR34,1
Cyclostomata,GPR34,0
Tunicata,GPR34,0
Cephalochordata,GPR34,0
Hemichordata,GPR34,0
Echinodermata,GPR34,0
Annelida,GPR34,0
Mollusca,GPR34,0
Arthropoda,GPR34,0
Cnidaria,GPR34,0
Placozoa,GPR34,0
